77.45 --- Epoch=10 lr=0.25 Ngrams=5 mincount=20 dim=20 bucket=1000000 loss=ns neg=5 ws=5 verbose=2
76.47 --- Epoch=10 lr=0.25 Ngrams=5 mincount=20 dim=200 bucket=1000000 loss=ns neg=5 ws=5 verbose=2
77.45 --- Epoch=10 lr=0.25 Ngrams=5 mincount=20 dim=20 bucket=1000000 loss=ns neg=5 ws=2 verbose=2
76.47 --- Epoch=10 lr=0.25 Ngrams=5 mincount=20 dim=20 bucket=1000000 loss=ns neg=5 ws=2 verbose=2
77.45 --- Epoch=10 lr=0.25 Ngrams=5 mincount=20 dim=20 bucket=1000000 loss=ns neg=5 ws=2 verbose=2 minn=3 maxn=3
79.41 --- Epoch=5 lr=0.5 Ngrams=2 mincount=1 dim=10 bucket=10000000
78.43 --- Epoch=10 lr=0.5 Ngrams=2 mincount=1 dim=10 bucket=10000000
78.43 --- Epoch=6 lr=0.5 Ngrams=2 mincount=1 dim=10 bucket=10000000
79.41 --- Epoch=5 lr=0.5 Ngrams=5 mincount=1 dim=10 bucket=10000000
80.39 --- Epoch=5 lr=0.5 Ngrams=5 mincount=1 dim=10 bucket=10000000 loss=ns neg=5 ws=5 verbose=2 minn=3 maxn=6
80.39 --- Epoch=5 lr=0.5 Ngrams=5 mincount=1 dim=10 bucket=10000000 loss=ns neg=5 ws=5 verbose=2 minn=3 maxn=6
80.39 --- Epoch=5 lr=0.5 Ngrams=5 mincount=1 dim=10 bucket=10000000 loss=ns neg=10 ws=5 verbose=2 minn=3 maxn=6
80.39 --- Epoch=5 lr=0.5 Ngrams=5 mincount=1 dim=10 bucket=10000000 loss=ns neg=10 ws=5 verbose=2 minn=3 maxn=5
80.39 --- Epoch=5 lr=0.5 Ngrams=5 mincount=2 dim=10 bucket=10000000 loss=ns neg=10 ws=5 verbose=2 minn=3 maxn=5
80.39 --- Epoch=5 lr=0.45 Ngrams=5 mincount=2 dim=10 bucket=10000000 loss=ns neg=10 ws=5 verbose=2 minn=3 maxn=5
80.39 --- Epoch=5 lr=0.3 Ngrams=5 mincount=2 dim=10 bucket=10000000 loss=ns neg=10 ws=5 verbose=2 minn=3 maxn=5
79.41 --- Epoch=10 lr=0.3 Ngrams=5 mincount=2 dim=10 bucket=10000000 loss=ns neg=10 ws=5 verbose=2 minn=3 maxn=5
79.41 --- Epoch=5 lr=0.7 Ngrams=5 mincount=2 dim=10 bucket=10000000 loss=ns neg=10 ws=5 verbose=2 minn=3 maxn=5
80.39 --- Epoch=5 lr=0.5 Ngrams=5 mincount=2 dim=10 bucket=10000000 loss=ns neg=10 ws=5 verbose=2 minn=3 maxn=5
79.41 --- Epoch=5 lr=0.5 Ngrams=5 mincount=2 dim=10 bucket=5000000 loss=ns neg=10 ws=5 verbose=2 minn=3 maxn=5
79.41 --- Epoch=5 lr=0.5 Ngrams=5 mincount=2 dim=10 bucket=12000000 loss=ns neg=10 ws=5 verbose=2 minn=3 maxn=5
80.39 --- Epoch=5 lr=0.5 Ngrams=5 mincount=2 dim=10 bucket=10000000 loss=ns neg=20 ws=5 verbose=2 minn=3 maxn=5
80.39 --- Epoch=5 lr=0.5 Ngrams=5 mincount=2 dim=10 bucket=10000000 loss=ns neg=20 ws=5 verbose=2 minn=2 maxn=5
80.39 --- Epoch=5 lr=0.5 Ngrams=5 mincount=2 dim=5 bucket=10000000 loss=ns neg=20 ws=5 verbose=2 minn=3 maxn=5
80.39 --- Epoch=5 lr=0.5 Ngrams=5 mincount=2 dim=5 bucket=10000000 loss=ns neg=5 ws=5 verbose=2 minn=3 maxn=5
79.41 --- Epoch=5 lr=0.5 Ngrams=5 mincount=2 dim=5 bucket=10000000 loss=ns neg=5 ws=5 verbose=3 minn=3 maxn=5
79.41 --- Epoch=5 lr=0.5 Ngrams=5 mincount=2 dim=5 bucket=10000000 loss=ns neg=5 ws=5 verbose=1 minn=3 maxn=5
79.41 --- Epoch=5 lr=0.5 Ngrams=5 mincount=2 dim=5 bucket=10000000 loss=ns neg=5 ws=5 verbose=2 minn=3 maxn=5
79.41 --- Epoch=5 lr=0.5 Ngrams=5 mincount=2 dim=5 bucket=10000000 loss=ns neg=5 ws=5 verbose=2 minn=3 maxn=5
79.41 --- Epoch=5 lr=0.5 Ngrams=5 mincount=2 dim=5 bucket=10000000 loss=hs neg=5 ws=5 verbose=2 minn=3 maxn=5
80.39 --- Epoch=5 lr=0.5 Ngrams=5 mincount=2 dim=5 bucket=10000000 loss=ns neg=25 ws=5 verbose=2 minn=3 maxn=5
82.35 --- Epoch=5 lr=0.5 Ngrams=5 mincount=2 dim=5 bucket=10000000 loss=ns neg=25 ws=5 verbose=2 minn=5 maxn=5
84.31 --- Epoch=5 lr=0.5 Ngrams=5 mincount=2 dim=5 bucket=10000000 loss=ns neg=25 ws=5 verbose=2 minn=5 maxn=6
83.33 --- Epoch=5 lr=0.5 Ngrams=5 mincount=2 dim=5 bucket=10000000 loss=ns neg=25 ws=5 verbose=2 minn=6 maxn=7
